time,T_in,v_flow,T_Node 1,T_Node 2,T_HEX 1,T pipe in HEX 1,m_flow pipe in HEX 1,T pipe out HEX 1,m_flow pipe out HEX 1,dT 1_1,dT 1_2,T_ambient
9540,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
9600,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
9660,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
9720,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
9780,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
9840,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
9900,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
9960,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
10020,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
10080,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
10140,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
10200,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
10260,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
10320,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
10380,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
10440,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
10500,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
10560,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
10620,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
10680,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
10740,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
